Name,Country,Phone
SABINE BÌÏRK & SABRINA JUNG GBR,Germany,+49 30 85 40 73 89
MOULINS DE CHERISY,France,+33 2 37 62 77 77
SCHULTHEISS GMBH,Germany,+49 83 95 93 36 89
DOLCIARIA RINALDONE S.R.L.,Italy,+39 0761 352 748
TMB GMBH,Germany,+49 52 11 36 62 00
MOZART DISTILLERIE GMBH,Austria,+43 66 28 75 77 20
CAFFE' GIOVANNACCI,Italy,+39 019 680 098
GETRÌãNKE MEKKA GMBH,Germany,+49 98 41 68 99 90
SULTAN BACKPARADIES GMBH,Germany,+49 89 20 03 03 01
GOVI S.R.L.,Italy,+39 0376 527 610
ALPHA SENLI GMBH,Germany,+49 56 18 70 65 04
SOARD PATRICK & VINCENT,France,+33 4 90 62 95 61
MINOSS TIERNAHRUNG GMBH,Germany,+49 24 64 90 99 30
DOMAINE PIQUEMAL FRANK ET MARIE PIERRE,France,+33 4 68 64 09 14
DAHMEN MINERALÌÐLE GMBH & CO. KG,Germany,+49 24 01 33 71
EMMECI ALIMENTARI S.R.L.,Italy,+39 075 951 246
WASSERMANN GETRÌãNKE LIEFERSERVICE,Germany,+49 51 12 77 22 55
SA SABOURIN FRERES,France,+33 5 57 42 15 27
DITTON WINE TRADERS,United Kingdom,+44 02083399112
DOMAINE CASABIANCA,France,+33 4 95 38 96 00
TIEFKÌÏHLBACKWAREN EINHAUS GMBH,Germany,+49 23 66 18 14 90
CONFISERIE TRIKI LE MOULIN,Tunisia,+216 74 46 99 00
TORTENBILDER-SPEZIAL,Germany,+49 68 97 90 93 56
SARL THONNARD,France,+33 5 49 73 47 42
FADDA SALVATORE DI MARIA ELENA FADDA S.A.S.,Italy,+39 079 886 554
CASALE VALLECHIESA S.R.L.,Italy,+39 069 417 270
LOCKVOGEL ANJA GEISLER & IMKE HASENBEIN GBR,Germany,+49 25162560774
PIERRE CHAUVET,France,+33 4 75 35 55 15
SERVICE CENTER NORD GBR,Germany,+49 21159817776
AGRITURISMO CASA SHANGRI - LA,Italy,+39 0432 756 317
KELLMANN PRODUKTIONS GMBH,Germany,+49 39 31 49 03 70
DOMAINE DES SANZAY,France,+33 2 41 52 91 30
SEMINARHAUS VILLA WEDENBERG,Germany,+49 45 41 87 03 78
THE NORTHERN CLUBS' FEDERATION BREWERY LTD,United Kingdom,+44 191460 90 23
SEMENCES VERTES,France,+33 1 40 66 22 22
OTLEY BREWING,United Kingdom,+44 01443480555
NORTHERN SEAFOOD EUROPE LTD,United Kingdom,+44 729 49 28 18
FRIGOS DE LA MAMORA (LES),Morocco,+212 05 22 31 07 01
DOVECOTES,United Kingdom,+44 01902747775
BOUJA INTERNATIONAL,Morocco,+212 05 28 33 57 24
BODEGAS ALAVESAS SA,Spain,+34 945 60 01 00
"CONSERVAS HUERTAS, S.A.",Spain,+34 926 80 01 37
MARCOS SOTOSERRANO S.L.,Spain,+34 923 42 20 27
CANTINA TREXENTA,Italy,+39 0709 808 863
GAGLIANO MARCATI S.R.L.,Italy,+39 045 515 155
STE COOP VINICOLE LES COTEAUX DU RHONE,France,+33 4 90 70 04 22
ANDREAS WALKNER GMBH & CO. KG,Austria,+43 62 17 81 34
I BUONATAVOLA SINI S.R.L.,Italy,+39 0761 571 052
SELECCION GOURMET 91 S.L.,Spain,+34 916 81 99 20
U.D. DISTRIBUZIONI DI USLENGHI E. C. ( S.N.C. ),Italy,+39 0331 844 132
AMARO SAN SIMONE S.R.L.,Italy,+39 0112 265 074
MOÌÜT HENNESSY DEUTSCHLAND GMBH,Germany,+49 8999 42 10
FRANTOIO DI MATRAIA DI NENCINI CARLA & C. S.A.S.,Italy,+39 058 330 060
ORTENAUER WEINKELLEREI GESELLSCHAFT MIT BESCHRÌãNKTER HAFTUNG,Germany,+49 78 15 02 61 90
MINESTRINI ( S.N.C. ),Italy,+39 0755 009 480
KERSHAWS FROZEN FOODS LIMITED,United Kingdom,+44 17 04 53 07 67
SCI DIDIERLAURENT,France,+33 3 29 63 03 48
GULDEN KRAKELING ZUID B.V.,Netherlands,+31 735 18 49 71
BODEGAS DE CRIANZA DE CASTILLA LA VIEJA S.A.,Spain,+34 983 86 83 36
ELLIS OF RICHMOND LIMITED,United Kingdom,+44 20 87 44 55 50
CANTINE CIPRESSI S.R.L.,Italy,+39 0874 874 535
PHILIPPONNAT LES DOMAINES ASSOCIES,France,+33 3 26 56 93 14
DOMEIN DE KLUIZEN,Belgium,+32 53 41 86 01
DAIRYGOLD FOOD INGREDIENTS LTD,Ireland,+353 25244 11
HAJDUHUS 2000 KERESKEDELMI ES SZOLGALTATO KORLATOLT FELELOSSEGU TARSASAG,Hungary,+36 52 47 09 21
COUNTRY PARK FOODS LIMITED,United Kingdom,+44 14 84 64 21 26
GEBROEDERS VAN DEN MAAGDENBERG B.V.,Netherlands,+31 165 50 38 50
THE LORENZ BAHLSEN SNACK-WORLD PRODUCTION GMBH & CO.KG GERMANY,Germany,+49 61 02 29 30
EARL DOMAINE PIERRE VESSIGAUD,France,+33 3 85 35 81 18
O'HARA'S BAKERY OF FOXFORD LTD,Ireland,+353 94925 61 14
MUHLE BURGHOLZ,Switzerland,+41 79656 42 88
LE FUMET DES DOMBES,France,+33 4 72 26 44 42
PASTICCERIA FORLIVESE (S.N.C.),Italy,+39 0543 554 770
MESSINA,Italy,+39 0922 418 061
DI CICCO LIQUORI S.R.L.,Italy,+39 0872944 328
GEL GROSS S.R.L.,Italy,+39 0833914 242
TORNEY LANDFLEISCHEREI PRIPSLEBEN GMBH,Germany,+49 396 12 56 30
CASEIFICIO DELIZIE DELLA NATURA S.R.L.,Italy,+39 0965 636 665
TRIPTISER WURSTWAREN GMBH,Germany,+49 364 82 80 30
ÌÐZDEMIR DÌÐNER PRODUKTIONS-GMBH,Germany,+49 304 90 00 70
BRAUER-VEREINIGUNG PEGNITZ GESELLSCHAFT MIT BESCHRÌãNKTER HAFTUNG,Germany,+49 92 41 20 35
FEINBÌãCKEREI THIELE GESELLSCHAFT MIT BESCHRÌãNKTER HAFTUNG,Germany,+49 551 38 38 30
CONSERVAS ECYDSA S.L.,Spain,+34 941 13 07 57
SPREEWALD-FELDMANN GMBH & CO. KG,Germany,+49 354 62 74 50
MILCHWERK CRAILSHEIM-DINKELSBÌÏHL EG,Germany,+49 795 19 37 10
GEMEINSCHAFTSKONDITOREI HERFORD-SUNDERN GMBH & CO PRODUKTIONS KG,Germany,+49 522 16 13 53
KLOSTERBRAUEREI REUTBERG E.G.,Germany,+49 802 12 58
GEBRÌÏDER FÌÐRSTER GMBH,Germany,+49 934 69 21 00
BÌãCKER ANDRESEN & SOHN OHG,Germany,+49 43 21 56 96 90
CONSERVAS SERRANO S.L.,Spain,+34 941 13 03 86
WELLEN GUTLAND GMBH CO. KG,Germany,+49 215 14 41 20
VOLLKORNBÌãCKEREI BROTGARTEN GMBH,Germany,+49 431 57 97 40
KLAUS GMBH & CO. KG,Germany,+49 384 59 68 10
M.A.C. INTERNATIONAL S.R.L.,Italy,+39 025 516 422
PASTICCERIA PROSDOCIMI FRANCO E C. S.N.C.,Italy,+39 041 907 724
AZIENDA VINICOLA CUSTODI GIANFRANCO,Italy,+39 076 329 053
SARL JOSEPH BALLAND CHAPUIS,France,+33 2 48 54 06 67
PASTIFICIO ATTILIO MASTROMAURO,Italy,+39 0808 721 821
ANTICHE FOSSE DI ROSSINI DR GIANFRANCO & C.,Italy,+39 0541 948 687
CHOCOLATS GINET,France,+33 4 78 42 09 82
SCHOLLER ICE CREAM LIMITED,United Kingdom,+44 14 83 20 55 00
HALL FINE FOOD EXPORTERS LIMITED,United Kingdom,+44 20 89 77 13 22
MAISON MAURICE LIMITED,United Kingdom,+44 20 88 56 71 47
D. SIDOLI & SONS (SHREWSBURY) LIMITED,United Kingdom,+44 19 38 55 52 34
WINDWARD ISLES BANANA COMPANY (UK) LIMITED,United Kingdom,+44 14 89 58 75 70
EPOREDIA S.R.L.,Italy,+39 012 548 597
DITTA EREDI LUIGI POSCIA S.R.L.,Italy,+39 070 788 644
EVRIMEX GROUP E O O D,Bulgaria,+359 2925 02 18
SOTI O O O,Belarus,+375 172 26 51 66
SARL LA COLOMBARIE,France,+33 5 63 33 92 62
IBERICO SIERRA DE AZUAGA S. A.,Spain,+34 924 89 18 16
DELPHIN-AMAZONIA AG,Switzerland,+41 61416 10 10
DANISCO SWEETENERS,France,+33 1 56 60 47 00
STE PERIGORDINE DE SALAISONS,France,+33 5 53 02 66 66
AU PARRAIN GENEREUX,France,+33 3 80 30 38 88
PERRUQUET CIPRIANO DI PERRUQUET EMANUELE E C.SAS,Italy,+39 0115 119 478
STE GAMMOUDA SA,Tunisia,+216 71 88 30 88
IBERIA S.R.L.,Italy,+39 0721 969 428
GETRÌãNKE GEINS GMBH,Germany,+49 372 07 68 60
PARADIESFRUCHT GMBH,Germany,+49 41486151406150
CASEIFICIO SOCIALE DI PREDAZZO E MOENA S.C.A.R.L.,Italy,+39 0462 501 287
CANCIANI,Italy,+39 0481 530 736
FATTORIA GIUSEPPE SAVINI S.R.L.,Italy,+39 0858 048 022
EUROSALUS ITALIA S.R.L.,Italy,+39 0456 000 589
ORIGINAL GIUSEPPE CURRERI S.R.L.,Italy,+39 092 522 821
FIORENTINI ALIMENTARI S.P.A.,Italy,+39 0114 704 568
EUROBEVANDE S.R.L.,Italy,+39 0434 570 304
FLEISCHEREI HOLZAPFEL THÌÏRINGER FLEISCH- UND WURSTWAREN GMBH,Germany,+49 346 73 77 00
VION CONVENIENCE CHEMNITZ GMBH,Germany,+49 37 18 14 50
"JOLPEN-COMERCIO DE BEBIDAS, LDA.",Portugal,+351 269 44 10 36
FANTINATO LINEADOLCE,Italy,+39 0423 949 902
ANDRE LENORMAND TRAITEUR SARL,France,+33 2 38 43 29 09
CASEARIA AGRICOLSUD S.R.L.,Italy,+39 0818 802 425
SCHUHBECK'S GEWÌÏRZE GMBH,Germany,+49 892 11 69 00
DOLOMITI FRUITS S.R.L.,Italy,+39 0463 454 022
PAONE MIMMO,Italy,+39 0909 981 101
MINERAL SERVICE S.N.C.,Italy,+39 0113 098 913
SEMENZATO ALIMENTARI S.R.L.,Italy,+39 051 903 619
SALUMIFICIO MONTE LINAS,Italy,+39 0709 314 474
SÌÏÌÙWAREN- UND SPIRITUOSENGROÌÙHANDEL DIETER SCHWADORF,Germany,+49 22 22 20 61
OLEARIA CALDERA S.R.L.,Italy,+39 0365 659 020
LAVORAZIONE PINOLI S.N.C. DI LANINI MAURO E GALLAI LORENO,Italy,+39 0564 400 035
TERRANOSTRA S.R.L.,Italy,+39 0808 722 572
BODEGAS Y VINEDOS DEL JALON S.A.,Spain,+34 976 89 30 17
LABORATORIO COMBA DI CERRINA LUCIANO E GRANDE PIETRO S.D.F.,Italy,+39 011 359 937
FRISCHDIENST-UNION MOLKEREIPRODUKTE VERTRIEBS GMBH,Germany,+49 71183 09 20
DOLCIARIA SANREMESE S.R.L.,Italy,+39 0184 510 350
FRUCHTAGENTUR GMBH ALTES LAND,Germany,+49 414 17 90 00
RAISDORFER MÌÏHLE JÌÐRG-PETER SCHMIDT E. KFM.,Germany,+49 43 07 82 44 90
DELIS SA,France,+33 4 70 30 54 54
"PIMENTON, ESPECIAS Y PREPARADOS LA FLOR DE ESPANA SL.",Spain,+34 968 83 28 11
"ALTACARNES - COMERCIO DE CARNES, LDA",Portugal,+351 219 75 89 80
CINAR KONSERVE VE SEKERLEME TURISTIK TESISLERI SAN VE TIC LTD STI,Turkey,+90 224384 10 80
JOSEF SCHADER GEFLÌÏGEL-GROÌÙ- UND EINZELHANDEL INH. DIETER HÌÐLZEL E.K.,Germany,+49 624 18 01 91
APOLLINARIS GMBH,Germany,+49 264 18 20
EREDI COZZOLINO MICHELE DI COZZOLINO SALVATORE,Italy,+39 0813 447 459
CENTRO DISTRIBUZIONE BIBITE ZINIELLO DI MENNILLO ASSUNTA E C. S.N.C.,Italy,+39 0818 805 123
CARTOARTIGIANA DI RAFFAELE NAPOLI,Italy,+39 095 454 305
DOLCIARIA MONARDO,Italy,+39 0963 351 107
OTTO CRIENITZ KG OBERMÌÏHLE,Germany,+49 366038823132
PRZEDSIEBIORSTWO PRODUKCYJNO HANDLOWO USLUGOWE OMEGA JANUSZ GUDER,Poland,+48 75764 74 36
BON JOUR S.R.L.,Italy,+39 0106 453 379
GROSSMANN FEINKOST GMBH,Germany,+49 54 38 51 03
BGZ,Italy,+39 0543 921 408
ISIMBARDA S.A.S. SOCIETA' AGRICOLA DI MERONI LUIGI E C.,Italy,+39 0383 899 256
OLEIFICIO MONGIO' DOTT. ANTONIO,Italy,+39 0832 756 230
NUOVA CASTELVINI COOP S.P.A.,Italy,+39 0998 491 041
KELLERSBERGER MÌÏHLE GMBH,Germany,+49 240 42 54 11
HORECA DIFFUSION S.R.L.,Italy,+39 0119 921 815
CANTINA SOCIALE S. GIACOMO,Italy,+39 0872 620 504
CANTINA SOCIALE BARBERA DEI SEI CASTELLI,Italy,+39 0141 964 004
BARRY CALLEBAUT FRANCE,France,+33 1 30 22 84 00
SOCIETE BISCARRAT,France,+33 4 77 32 02 90
AGRAVIS KORNHAUS OSTWESTFALEN GMBH,Germany,+49 527 23 70 30
PRÌãTORIUS GMBH,Germany,+49 431 54 02 90
AZZONI DI AZZONI ANDREA E PAOLO & C. S.N.C.,Italy,+39 0372 560 887
PASTICCERIA SVIZZERA VITAL GASPERO S.A.S.,Italy,+39 0103 629 278
FIRMA M.A.S. S.J.,Poland,+48 58550 47 72
METAGENICS ITALIA S.R.L.,Italy,+39 0422 967 669
PORTO VIRO S.N.C. DI LAURENTI LUCIANA E C.,Italy,+39 0426 632 778
LA FONTE,Italy,+39 0457 581 033
MROZONKI - ZAKLAD GARMAZERYJNY,Poland,+48 94316 62 99
PASTIFICIO RANA S.P.A.,Italy,+39 0458 587 311
SALUMMONTE S.N.C. DI SAVERIANO NICOLA & C.,Italy,
AURIEMMA S.R.L.,Italy,+39 0823 620 299
GENERAL PACK S.R.L.,Italy,+39 067 221 582
BISCOTTIFICIO COLLU S.R.L.,Italy,+39 0709 600 162
FERRI IVO,Italy,+39 0965 794 329
CUKIERNIA KAROLAK S.C.,Poland,+48 32251 25 30
CERERE S.P.A.,Italy,+39 0276 008 930
CASEIFICIO VALDOSTANO S.R.L.,Italy,+39 0165 267 600
BARABINO ANDREA,Italy,+39 013 180 517
SARRAGIOTO DOLCIUMI,Italy,+39 0495 742 277
GOURMET SELECTION S.R.L.,Italy,+39 0858 958 602
AMADUZZI DI AMADUZZI SERENA E C. S.N.C.,Italy,+39 051 513 296
G.B. GESTIONE BAR DI LUONI CARLO & C. S.A.S.,Italy,+39 022 423 011
RIVA COSTANTE E C. ( S.N.C. ),Italy,+39 0399 241 235
DIROL CADBURY LLC,Russia,+7 81 66 54 96 20
ASID S.R.L.,Italy,+39 0973 662 250
LATTERIA VESUVIANA S.R.L.,Italy,+39 0818 982 643
KÌãSEREI BAYREUTH E.G.,Germany,+49 92 17 97 60
DÌÏRINGER FLEISCHKONTOR ENGELBERT STUKENBORG GMBH & CO. KG,Germany,+49 474 49 22 20
LIMAGRAIN GMBH,Germany,+49 517 69 89 10
MANGIMIFICIO TRINCHERO ANTONIO & C. S.N.C.,Italy,+39 0141 934 123
TEODORI ROCCO,Italy,+39 0733 285 637
CHELSEA FOODS LTD,United Kingdom,+44 17 08 52 13 78
R. HELLMANN FLEISCHWARENFABRIK GMBH & CO.KG,Germany,+49 52239942700
NORDISCHE FUTTERFETTE CARROUX GMBH & CO. HANDELS-KG,Germany,+49 407 52 01 60
IL MONDO DEI CUCCIOLI S.N.C. DI BRANDI SABRINA E GRANDI MORENO,Italy,+39 055 602 015
PASTIFICIO LA SOVRANA DI PUGLIA S.R.L.,Italy,+39 0883 661 532
VINOLEA PARADISO S.R.L.,Italy,+39 0885 428 720
BRUNO SCHULZ U. SOHN GMBH & CO. KG,Germany,+49 27 22 95 30
"PANIFICADORA REGIONAL DA VERMELHA, UNIPESSOAL, LDA.",Portugal,+351 262 69 64 65
AGRICOLA CORNE,Italy,+39 0354 521 113
FLEISCHEREI + PARTYSERVICE HANS-HERMANN EIKEMEIER,Germany,+49 511 98 77 80
ESSEPI S.R.L.,Italy,+39 091 306 836
SEVERN & WYE SMOKERY LIMITED,United Kingdom,+44 14 52 76 01 90
MOKADOR S.R.L.,Italy,+39 054 622 422
BLESSING BIOTECH GMBH,Germany,+49 71 18 99 94 70
NUOVA LEM - LINEA ECOLOGICA MANGIA S.R.L.,Italy,+39 0775 294 559
FATTORIE GAROFALO,Italy,+39 0823 622 681
CHIELLINI PRODOTTI DI CURNIS L.,Italy,
SAN MARTINO S.R.L.,Italy,+39 079 435 479
PASTIFICIO ARTIGIANO MENINI DI PREOSTI BRUNA & C. S.D.F.,Italy,+39 0457 952 566
BIALSWIESKA S.J.,Poland,+48 85743 37 59
GV GETRÌãNKE-VERTRIEBS GMBH,Germany,+49 28 41 91 00
HOCHEIFEL QUELLE GMBH,Germany,+49 65 91 98 31 10
TSUNAMI SUSHI BARS GMBH & CO. KG,Germany,+49 21315231612
DITTA PETROLATI DI PETROLATI MARINO E MARINIELLO A S.N.C.,Italy,+39 022 132 484
AESSE SERVICE S.R.L.,Italy,+39 0721 283 667
SOGELMER - OCÌäALLIANCE,France,+33 2 97 37 08 00
CASEIFICIO SESTO,Italy,+39 0474 710 251
BIO S.L.Y.M. S.R.L.,Italy,+39 0375 782 256
APULIA FOOD S.R.L.,Italy,+39 0883 613 051
STE TNNE D'ALIMENTATION ET CONFISERIE,Tunisia,+216 21 37 39 85
"STE LES QUATRES S ""4S""",Tunisia,+216 26 28 30 00
FROMAGERIE DU NORD,Tunisia,+216 98 60 02 49
LINOISE,Tunisia,+216 95 50 09 00
STE NICOISE,Tunisia,+216 21 05 26 53
HUILERIE BAZZA,Tunisia,+216 78 46 54 09
STE ITALO-TNNE D'INDUSTRIE AGRO ALIMENTAIRE,Tunisia,+216 23 52 34 14
STE DHIEB FRERES,Tunisia,+216 21 74 07 07
STE GLE DE CONSERVES,Tunisia,+216 98 33 82 51
BISCUITERIE BOUBAKRI,Tunisia,+216 75 86 21 42
AZ. VITIVINICOLA LA MORADELLA DI BERNINI M. E G. SOCIETA' AGRICOLA S.S.,Italy,+39 0523 868 498
ADM HAMBURG AG,Germany,+49 40 75 19 40
DORRA DES INDUSTRIES MAGHREBINES ALIMENTAIRES,Tunisia,+216 76 21 57 10
BOULANGERIE DHIBI ZAARA,Tunisia,+216 97 35 66 14
BRAUEREI AUGUST HELBIG KOMMANDITGESELLSCHAFT,Germany,+49 64713908183
COMPLEXE IND MESSAOUDI,Tunisia,+216 78 87 02 74
LINEMAR S.R.L.,Italy,+39 069 878 596
GILLMEIER FLEISCHWAREN GMBH,Germany,+49 991 67 81
DOLCERIE VENEZIANE S.R.L.,Italy,+39 0422 822 737
LI. BIOGROUP S.R.L.,Italy,+39 0458 301 811
PIEKARNICTWO S.C. BIALAS,Poland,+48 74817 31 19
TRAWERS. PHU. HURTOWNIA ART. SPOAYWCZYCH I NAPOJOW,Poland,+48 58785 06 80
MARCUCCI CENTRO CARNI ( S.N.C. ),Italy,+39 0873 900 355
F.LLI CONTORNO S.R.L.,Italy,+39 0916 214 023
PESCHERIA BONGIOVANNI AGOSTINO & C.,Italy,+39 0182 645 602
AGROMED SA,Tunisia,+216 98 40 32 81
AGR.I.T,Tunisia,+216 99 50 66 88
CASEIFICIO ARTIGIANALE MOROZZESE S.R.L.,Italy,+39 0171 772 530
ALIMENTARI FRANCIACORTA S.R.L.,Italy,+39 0306 846 063
EASTBROOK FARM ORGANIC MEATS LIMITED,United Kingdom,+44 17 93 79 04 60
CASEIFICIO GIOVANNI INVERNIZZI S.R.L.,Italy,+39 0363 880 145
STEFANO MARDEGAN S.R.L.,Italy,+39 0234 538 689
OLEIFICIO MELCHIORRI,Italy,+39 0743 221 384
ZAANOUNI KAIS,Tunisia,+216 73 32 05 91
STE MAGHREBINE DE MINOTERIE,Tunisia,+216 71 24 01 30
GEL INGREDIENTI,Tunisia,+216 95 55 66 99
STE D'ABBATAGE DE VOLAILLE,Tunisia,+216 77 41 82 22
MABROUKA HAMBLI,Tunisia,+216 93 42 43 38
SPÌÒLDZIELCZA AGROFIRMASWITKOWO - MIESZALNIA PASZ,Poland,+48 91561 27 29
HABIB YOUSSEF,Tunisia,+216 98 62 40 23
SOTRAPAL,Tunisia,+216 74 24 64 60
TAREK CHAOUCH,Tunisia,+216 98 20 82 12
STE EL BARAKA DE KELIBIA,Tunisia,+216 97 41 04 80
YAOURTERIE SIDI MECHREG,Tunisia,+216 98 21 42 92
SELLAMI SALEM,Tunisia,+216 92 91 90 71
CANNOLIFICIO MONGIBELLO S.R.L.,Italy,+39 0957 916 741
BUCHHOLZ GROÌÙ- UND EINZELHANDEL GMBH & CO. KG,Germany,+49 201 48 41 96
SALUMIFICIO SAN PROSPERO S.R.L.,Italy,+39 0521 887 149
CONSERVAS NAPAL SA,Spain,+34 948 84 32 08
JACOB FRUITFIELD FOODS LIMITED,Ireland,+353 14 04 37 00
CASEIFICIO VALLI DI LANZO S.R.L.,Italy,+39 0123 347 460
TCHIBO COFFEE SERVICE GMBH,Germany,+49 406 38 70
PIATTOPRONTO S.R.L.,Italy,+39 0577 984 399
PRODOTTI ALIMENTARI BRUNORI,Italy,+39 0721 891 920
SALUMIFICIO BRUGNOLO GIANCARLO S.P.A.,Italy,+39 049 625 155
BONUCCELLI SALUMI,Italy,+39 0584 989 680
CASEIFICIO SOCIALE CASTELLAZZO,Italy,+39 0522 652 862
PASTIFICIO ARTIGIANALE ALTA VALLE SCRIVIA,Italy,+39 010 938 433
B&B PRODUKTSLODYCZE REKLAMOWE,Poland,+48 22724 61 66
PASTICCERIA ISOLANA DOMIANEDDA DI URRU CLAUDIO,Italy,+39 079 588 930
GEL.MAR S.R.L.,Italy,+39 0832 966 871
FRATELLI CEI S.R.L.,Italy,+39 057 382 925
CANTINA COLONNELLA,Italy,+39 0861 710 405
GRANDI VINI BARON S.N.C. DI BARON ANGELO & C.,Italy,+39 0424 570 806
GETRÌãNKE-LOGISTIK GERHARD STEPPER E.K.,Germany,+49 725 16 04 07
LE GOLOSITA' DI ZIA CRI,Italy,+39 0144 715 059
GEBR. MÌÏLLER,Germany,+49 932 38 99 40
PASTICCERIA CAPETTA S.R.L.,Italy,+39 0521 621 083
RODI PETFOOD NETTETAL GMBH,Germany,+49 215 71 20 30
HANS STRASSER OHG,Germany,+49 803 12 04 50
DETERFOOD S.R.L.,Italy,+39 0804 136 077
ZAKLADY MIESNE KUJAWY SP. Z O.O.,Poland,+48 52371 76 93
ZAFFERANO DI TURRI DI PICCHEDDA ELVERIO E FIGLI S.N.C.,Italy,+39 078 395 101
BUONGUSTOITALIA FOOD & BEVERAGE S.R.L.,Italy,+39 0998 803 885
DISTILLERIA GUALCO BARTOLOMEO E SUSANNA DI GIORGIO E MARCELLA SOLDATIN,Italy,+39 0143 841 113
CUISINE DE FRANCE (MANUFACTURING) LIMITED,Ireland,+43 14 05 72 00
ORIOLI SILVIO S.R.L.,Italy,+39 0331 261 438
MERTZ GMBH,Germany,+49 76 41 84 62
CANTINE BORGO DI COLLOREDO S.R.L.,Italy,+39 087 557 453
STRIANESE CONSERVE SRL,Italy,+39 0818 277 580
FATTORIA DEI BARBI S.R.L.,Italy,+39 0577 841 111
POLINI FRANCESCO,Italy,+39 0365 641 420
GAIDI ABDELFATTAH,Tunisia,
ETS ZRELLI,Tunisia,
STE AGRO-DISTRIPLUS,Tunisia,
COLUMBIAN CHEMICALS EUROPA GMBH,Germany,+49 511 63 08 90
ATLANTIC PRODUCTS SP. Z O.O.,Poland,+48 91397 43 96
CANTINA SOCIALE DEI COLLI PESARESI,Italy,+39 072 151 924
STE BORJ ESSAYEH,Tunisia,
CANADO-TNNE DES INDUSTRIES AGRO-ALIMENTAIRES,Tunisia,
STE DES INDUSTRIES ALIMENTAIRES DE KORBA,Tunisia,
STE FROMAGE BEJA,Tunisia,
ZEUS COMMERCIALE S.R.L.,Italy,+39 0332 811 954
GIUSEPPE ROSSO SOCIETA' AGRICOLA UNIPERSONALE,Italy,+39 0932 667 943
SALUMIFICIO MURRU S.P.A.,Italy,+39 0784 978 270
PASTICCERIA CAFE' GIANNELLI,Italy,+39 0456 490 218
MANGIMI COMCIMI E CEREALI DI GALLO STANISLAO,Italy,+39 096 280 300
FATTORIA CUSONA,Italy,+39 0577 950 089
ECO - VER S.R.L.,Italy,+39 0108 353 513
"SIDRA ESCANCIADOR, S.A.",Spain,+34 985 89 00 50
BARONE AMERIGO SAGNA E FIGLI CASA FONDATA NEL 1928 S.P.A.,Italy,+39 0118 131 632
DELIZIE DI CALABRIA DI REITANO PASQUALE & C. S.A.S.,Italy,+39 0966 612 059
SAN CARLO GRUPPO ALIMENTARE S.P.A.,Italy,+39 0543 796 565
ENOTECA TALENTI,Italy,+39 0686 896 488
FAHNER LANDBRENNEREI GMBH U. CO. KG,Germany,+49 36 20 62 27 25
LEONE INDUSTRIA ALIMENTARE S.R.L.,Italy,+39 0874 390 203
DE CLEMENTE CONSERVE S.P.A.,Italy,+39 0815 138 033
SIBAT TOMARCHIO S.R.L.,Italy,+39 09 580 358
AMNOL CHIMICA BIOLOGICA S.R.L.,Italy,+39 0321 499 199
NINO VACCA DI GIOVANNI VACCA & C. S.N.C.,Italy,+39 078 370 665
CASEIFICIO LA STELLA S.R.L.,Italy,+39 0823 812 511
IMCA S.P.A.,Italy,+39 081 916 615
CASEIFICIO ROBERTA S.R.L.,Italy,+39 089 826 224
CORSINI BISCOTTI S.R.L.,Italy,+39 0564 957 866
AUGUSTSWIANKA SP. Z O.O.,Poland,+48 87644 31 32
FUSARO SALVATORE,Italy,+39 0984951 909
JAMONES Y EMBUTIDOS VAZQUEZ S. L.,Spain,+34 959 12 65 38
CASEIFICIO DI NUCCI DI DI NUCCI FRANCO,Italy,+39 086 577 288
DIETZ GMBH,Germany,+49 714 25 10 97
DELIZIE DELL ORTO S.R.L.,Italy,+39 0885 782 516
BOSIO S.R.L.,Italy,+39 0119 492 538
FERRONI & BERETTA S.R.L.,Italy,
BRUSCHI QUALITA' & SERVIZI,Italy,+39 052 596 430
KELLEREI KALTERN - CALDARO,Italy,+39 0471 964 454
BODEGAS DINASTIA VIVANCO SA,Spain,+34 941 32 23 60
FRIGORIFICOS MORALES SA,Spain,+34 968 55 21 11
CONSERVAS MARTINEZ SA,Spain,+34 968 62 66 25
ESPURGO SERVIZI TECNOLOGICI AMBIENTALI S.N.C. DI ALBERINI A. E GUAITOLINI,Italy,+39 0522 953 995
S.I.D.AL. S.R.L.,Italy,+39 0573 531 781
ESTRELLA DE LEVANTE FABRICA DE CERVEZA SA,Spain,+34 968 87 98 00
ACCADEMIA OLEARIA S.R.L.,Italy,+39 079 980 394
MANIACI DISTRIBUZIONE S.R.L.,Italy,+39 0921 383 284
FAOTTO BOTTIGNOLO S.R.L.,Italy,+39 0422 401 834
OLEARIA CLEMENTE S.R.L.,Italy,+39 0884 543 955
MAISEL BRÌãU BAMBERG HOLDING GMBH & CO. KG,Germany,+49 951 91 82 70
PASTICCERIA CAVALIERE DI CAVALIERE PAOLO E MARCO S.N.C.,Italy,+39 031 780 791
CANTINA DEL COLLE,Italy,+39 0803 036 138
LORMAN S.R.L.,Italy,+39 0373 980 926
ULTRACONGELADOS AZARBE SA,Spain,+34 968 87 01 73
INDUSTRIE MONTALI S.R.L.,Italy,+39 0522 863 181
PELLEGRINI S.R.L.,Italy,+39 04 294 928
ITALGUM CARAMELLE S.R.L.,Italy,+39 0142 497 817
AUGUSTOWIANKA SP Z O O,Poland,+48 87644 31 32
